DesignPt#,sample_size,mean_vec,cov,capacity,n_fac,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.10-Solve Time,0.10-Solved? (Y/N),0.20-Solve Time,0.20-Solved? (Y/N),0.50-Solve Time,0.50-Solved? (Y/N)
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,0,0.016666666666666684,0.2397166666666667,0.457,1,0.457,1,0.457,1,0.079,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,1,0.25000000000000006,0.27613333333333334,inf,0,inf,0,inf,0,0.02,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,2,0.16666666666666663,0.17661666666666664,inf,0,inf,0,0.106,1,0.002,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,3,0.3166666666666666,0.2950999999999999,inf,0,0.003,1,0.003,1,0.003,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,4,0.03333333333333337,0.14456666666666662,0.818,1,0.818,1,0.07,1,0.004,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,5,-0.0,0.17553333333333337,0.599,1,0.599,1,0.599,1,0.035,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,6,0.14999999999999997,0.17374999999999996,inf,0,inf,0,0.032,1,0.032,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,7,0.25000000000000006,0.2583500000000001,inf,0,inf,0,0.003,1,0.003,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,8,0.21666666666666667,0.21836666666666668,inf,0,inf,0,inf,0,0.007,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,9,0.3833333333333333,0.39185000000000003,inf,0,inf,0,inf,0,0.011,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,10,0.21666666666666667,0.5121833333333332,inf,0,inf,0,inf,0,0.842,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,11,0.13333333333333328,0.1768666666666666,inf,0,inf,0,0.299,1,0.005,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,12,0.16666666666666663,0.18609999999999996,inf,0,inf,0,0.05,1,0.05,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,13,0.03333333333333337,0.11293333333333333,0.235,1,0.235,1,0.235,1,0.025,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,14,0.13333333333333328,0.20324999999999996,inf,0,inf,0,0.413,1,0.067,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,15,0.06666666666666654,0.08974999999999987,inf,0,0.026,1,0.026,1,0.026,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,16,0.2,0.2323,inf,0,inf,0,inf,0,0.036,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,17,0.06666666666666654,0.14769999999999991,inf,0,0.301,1,0.301,1,0.055,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,18,0.13333333333333328,0.18099999999999994,inf,0,inf,0,0.089,1,0.043,1
0,10,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,19,0.09999999999999991,0.18229999999999996,inf,0,0.41,1,0.41,1,0.049,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,0,0.25,0.27425,0.242,1,0.242,1,0.242,1,0.082,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,1,0.05357142857142862,0.10196428571428576,inf,0,0.192,1,0.068,1,0.016,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,2,0.1250000000000001,0.21503571428571427,inf,0,inf,0,0.806,1,0.042,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,3,0.10714285714285723,0.30400000000000005,inf,0,inf,0,0.674,1,0.188,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,4,-0.07142857142857129,-0.031357142857142695,0.008,1,0.008,1,0.008,1,0.008,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,5,0.08928571428571436,0.15582142857142867,inf,0,0.208,1,0.208,1,0.064,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,6,0.07142857142857148,0.07514285714285718,inf,0,0.004,1,0.004,1,0.004,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,7,0.25,0.34450000000000003,inf,0,inf,0,inf,0,0.228,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,8,0.07142857142857148,0.22964285714285718,inf,0,0.652,1,0.652,1,0.04,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,9,0.01785714285714287,0.11525000000000003,0.646,1,0.174,1,0.066,1,0.066,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,10,0.28571428571428575,0.33721428571428574,inf,0,inf,0,inf,0,0.08,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,11,-0.035714285714285546,0.020000000000000035,0.028,1,0.028,1,0.028,1,0.028,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,12,-0.0,0.07742857142857149,0.076,1,0.076,1,0.076,1,0.058,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,13,0.17857142857142871,0.20471428571428585,inf,0,inf,0,0.094,1,0.038,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,14,0.07142857142857148,0.0788571428571429,inf,0,0.008,1,0.008,1,0.008,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,15,0.16071428571428584,0.2028928571428572,inf,0,inf,0,0.198,1,0.026,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,16,0.08928571428571436,0.11532142857142866,inf,0,0.03,1,0.03,1,0.028,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,17,0.14285714285714296,0.16707142857142865,inf,0,0.15,1,0.15,1,0.03,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,18,0.17857142857142871,0.18921428571428583,inf,0,inf,0,0.092,1,0.04,1
1,20,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,19,0.26785714285714285,0.3024642857142857,inf,0,inf,0,inf,0,0.016,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,0,0.1896551724137931,0.2718965517241379,0.363,1,0.363,1,0.363,1,0.123,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,1,0.08620689655172403,0.2544655172413792,inf,0,0.786,1,0.372,1,0.117,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,2,0.10344827586206887,0.1027241379310344,inf,0,0.006,1,0.006,1,0.006,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,3,0.3103448275862068,0.39853448275862063,inf,0,inf,0,inf,0,0.06,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,4,0.12068965517241372,0.037258620689655166,0.09,1,0.09,1,0.09,1,0.012,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,5,-0.0,0.05399999999999999,0.078,1,0.078,1,0.078,1,0.051,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,6,0.1896551724137931,0.19451724137931037,inf,0,inf,0,0.006,1,0.006,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,7,0.05172413793103434,0.15998275862068956,inf,0,0.33,1,0.33,1,0.021,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,8,0.05172413793103434,0.24320689655172403,inf,0,0.555,1,0.522,1,0.144,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,9,0.08620689655172403,0.09422413793103437,inf,0,0.009,1,0.009,1,0.009,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,10,0.17241379310344826,0.2600862068965517,inf,0,inf,0,0.249,1,0.024,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,11,0.17241379310344826,0.1873103448275862,inf,0,inf,0,0.018,1,0.018,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,12,0.017241379310344654,0.09793103448275844,0.21,1,0.21,1,0.21,1,0.012,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,13,0.034482758620689495,0.284,0.747,1,0.747,1,0.747,1,0.066,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,14,0.034482758620689495,0.18277586206896537,0.456,1,0.456,1,0.456,1,0.039,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,15,0.4310344827586207,0.46139655172413796,inf,0,inf,0,inf,0,0.105,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,16,0.017241379310344654,0.17846551724137924,0.525,1,0.525,1,0.525,1,0.045,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,17,-0.03448275862068969,0.05722413793103439,0.675,1,0.027,1,0.027,1,0.027,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,18,0.2241379310344828,0.23401724137931032,inf,0,inf,0,0.096,1,0.096,1
2,30,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,19,0.05172413793103434,0.2000172413793103,inf,0,0.753,1,0.105,1,0.063,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,0,0.034482758620689495,0.2916551724137931,0.484,1,0.484,1,0.484,1,0.152,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,1,0.10344827586206887,0.22965517241379307,inf,0,inf,0,0.832,1,0.06,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,2,0.017241379310344654,0.13089655172413778,0.388,1,0.14,1,0.14,1,0.14,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,3,0.17241379310344826,0.21096551724137924,inf,0,inf,0,0.052,1,0.052,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,4,0.2241379310344828,0.25882758620689655,inf,0,inf,0,inf,0,0.092,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,5,0.13793103448275856,0.4292413793103447,inf,0,inf,0,0.624,1,0.364,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,6,0.1551724137931034,0.32758620689655166,inf,0,inf,0,0.788,1,0.024,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,7,0.17241379310344826,0.25634482758620686,inf,0,inf,0,0.364,1,0.024,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,8,0.08620689655172403,0.1233103448275861,inf,0,0.12,1,0.032,1,0.032,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,9,0.13793103448275856,0.18496551724137927,inf,0,inf,0,0.092,1,0.04,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,10,0.2241379310344828,0.3484827586206896,inf,0,inf,0,inf,0,0.148,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,11,-0.06896551724137938,0.1499310344827585,0.396,1,0.396,1,0.396,1,0.104,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,12,-0.0,0.032,0.032,1,0.032,1,0.032,1,0.032,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,13,0.10344827586206887,0.33937931034482743,inf,0,inf,0,0.704,1,0.096,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,14,0.1551724137931034,0.38586206896551717,inf,0,inf,0,0.732,1,0.092,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,15,0.3103448275862068,0.5307586206896551,inf,0,inf,0,inf,0,0.764,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,16,0.034482758620689495,0.189103448275862,0.9,1,0.328,1,0.328,1,0.112,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,17,-0.0,0.09172413793103443,0.34,1,0.34,1,0.34,1,0.008,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,18,0.25862068965517226,0.3577241379310344,inf,0,inf,0,inf,0,0.168,1
3,40,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,19,0.10344827586206887,0.2646206896551723,inf,0,inf,0,0.316,1,0.316,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,0,0.034482758620689495,0.3541379310344827,0.605,1,0.605,1,0.605,1,0.19,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,1,0.1551724137931034,0.2953448275862068,inf,0,inf,0,0.22,1,0.22,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,2,0.017241379310344654,0.28456896551724126,0.985,1,0.295,1,0.295,1,0.295,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,3,0.13793103448275856,0.2538793103448275,inf,0,inf,0,0.355,1,0.19,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,4,0.12068965517241372,0.4170689655172414,inf,0,inf,0,0.94,1,0.065,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,5,0.13793103448275856,0.2900862068965516,inf,0,inf,0,0.955,1,0.12,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,6,0.10344827586206887,0.33396551724137913,inf,0,inf,0,0.84,1,0.155,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,7,0.24137931034482743,0.25060344827586195,inf,0,inf,0,inf,0,0.025,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,8,0.08620689655172403,0.2666379310344827,inf,0,0.495,1,0.495,1,0.15,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,9,0.17241379310344826,0.22568965517241374,inf,0,inf,0,0.215,1,0.035,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,10,0.1551724137931034,0.21068965517241373,inf,0,inf,0,0.16,1,0.05,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,11,-0.017241379310344845,0.09387931034482759,0.375,1,0.375,1,0.07,1,0.07,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,12,-0.0,0.1731896551724138,0.265,1,0.265,1,0.16,1,0.15,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,13,0.10344827586206887,0.15706896551724128,inf,0,inf,0,0.06,1,0.06,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,14,-0.03448275862068969,0.14551724137931032,0.315,1,0.315,1,0.26,1,0.065,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,15,0.12068965517241372,0.1676724137931034,inf,0,0.055,1,0.055,1,0.055,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,16,0.06896551724137918,0.16862068965517232,inf,0,0.195,1,0.195,1,0.11,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,17,0.10344827586206887,0.1631896551724137,inf,0,inf,0,0.15,1,0.045,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,18,0.2758620689655171,0.357758620689655,inf,0,inf,0,inf,0,0.125,1
4,50,"[100, 100, 100]","[[2000, 1500, 500], [1500, 2000, 750], [500, 750, 2000]]","(148.5998402137232, 164.5618815042245, 174.84924846064388)",3,19,0.32758620689655166,0.5537068965517242,inf,0,inf,0,inf,0,0.725,1
