DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,variable_cost,n_days,backorder_cost,demand_mean,warmup,holding_cost,fixed_cost,lead_mean,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.13079018108917181,0.1963468950748572,inf,0,inf,0,0.152,1,0.072,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.3241070808917832,0.3592704905856481,inf,0,inf,0,inf,0,0.088,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.44311199289346215,0.49133792892714484,inf,0,inf,0,inf,0,0.194,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.6937779439143049,0.7052453393444447,inf,0,inf,0,inf,0,inf,0
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.22771203376039853,0.3086116130057748,inf,0,inf,0,inf,0,0.104,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.12502159171318075,0.17578350945679522,inf,0,0.174,1,0.136,1,0.056,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,0.649290854156272,0.6701300273201141,inf,0,inf,0,inf,0,inf,0
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.4888736125642069,0.560420510011185,inf,0,inf,0,inf,0,1.0,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.45499904159058946,0.48507377404166246,inf,0,inf,0,inf,0,0.104,1
0,True,0.1,0.638,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.48192976275836813,0.5113817415164931,inf,0,inf,0,inf,0,0.056,1
1,True,0.1,0.9,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.13079018108917181,0.1963468950748572,inf,0,inf,0,0.152,1,0.072,1
1,True,0.1,0.9,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.3241070808917832,0.3592704905856481,inf,0,inf,0,inf,0,0.088,1
1,True,0.1,0.9,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.44311199289346215,0.49133792892714484,inf,0,inf,0,inf,0,0.194,1
1,True,0.1,0.9,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.6937779439143049,0.7052453393444447,inf,0,inf,0,inf,0,inf,0
1,True,0.1,0.9,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.22771203376039853,0.3086116130057748,inf,0,inf,0,inf,0,0.104,1
1,True,0.1,0.9,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.12502159171318075,0.17578350945679522,inf,0,0.174,1,0.136,1,0.056,1
1,True,0.1,0.9,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,0.649290854156272,0.6701300273201141,inf,0,inf,0,inf,0,inf,0
1,True,0.1,0.9,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.4888736125642069,0.560420510011185,inf,0,inf,0,inf,0,1.0,1
1,True,0.1,0.9,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.45499904159058946,0.48507377404166246,inf,0,inf,0,inf,0,0.104,1
1,True,0.1,0.9,1.0,0.645,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.48192976275836813,0.5113817415164931,inf,0,inf,0,inf,0,0.056,1
2,True,0.1,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.1224188311188301,0.1950146839785345,inf,0,inf,0,0.152,1,0.072,1
2,True,0.1,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.2834208756974043,0.3453124905580162,inf,0,inf,0,inf,0,0.088,1
2,True,0.1,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.5506005587581364,0.5838615975051884,inf,0,inf,0,inf,0,inf,0
2,True,0.1,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.509777421574063,0.5408281034607216,inf,0,inf,0,inf,0,inf,0
2,True,0.1,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.239752873931527,0.30896911421922635,inf,0,inf,0,inf,0,0.12,1
2,True,0.1,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.13759885845066397,0.17951659833683387,inf,0,0.174,1,0.136,1,0.056,1
2,True,0.1,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,0.30749612725389885,0.40312341441492416,inf,0,inf,0,inf,0,0.12,1
2,True,0.1,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.4601594773135578,0.5271819838545803,inf,0,inf,0,inf,0,0.456,1
2,True,0.1,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.3831244180190871,0.4369485876522555,inf,0,inf,0,inf,0,0.104,1
2,True,0.1,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.3432657042517615,0.4093700324770217,inf,0,inf,0,inf,0,0.056,1
3,True,0.5,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.1791397043571147,0.27981505369996984,inf,0,inf,0,0.557,1,0.088,1
3,True,0.5,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.43744317684645984,0.48440917503517744,inf,0,inf,0,inf,0,0.235,1
3,True,0.5,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.5506005587581364,0.5838615975051884,inf,0,inf,0,inf,0,inf,0
3,True,0.5,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.5976931547654837,0.6704516367897702,inf,0,inf,0,inf,0,inf,0
3,True,0.5,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.239752873931527,0.30896911421922635,inf,0,inf,0,inf,0,0.12,1
3,True,0.5,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.11184789099464043,0.17451666897990667,inf,0,0.215,1,0.174,1,0.056,1
3,True,0.5,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,0.3787494149135615,0.4517545424737226,inf,0,inf,0,inf,0,0.12,1
3,True,0.5,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.4601594773135578,0.5271819838545803,inf,0,inf,0,inf,0,0.456,1
3,True,0.5,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.3934801274621479,0.46613989376520965,inf,0,inf,0,inf,0,0.214,1
3,True,0.5,0.746,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.3544457349536832,0.41340768266690797,inf,0,inf,0,inf,0,0.056,1
4,True,0.3,0.7,2.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.5793228148482106,0.619979008485515,inf,0,inf,0,inf,0,inf,0
4,True,0.3,0.7,2.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.19076798180384438,0.2293838982764149,inf,0,inf,0,0.166,1,0.072,1
4,True,0.3,0.7,2.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.22245248719106506,0.2845076923558012,inf,0,inf,0,inf,0,0.104,1
4,True,0.3,0.7,2.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.24366024404475192,0.27531867029816365,inf,0,inf,0,0.188,1,0.072,1
4,True,0.3,0.7,2.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.12756804908899932,0.1635701533889745,inf,0,inf,0,0.072,1,0.056,1
4,True,0.3,0.7,2.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.17110026283078655,0.2338311111980092,inf,0,inf,0,0.056,1,0.04,1
4,True,0.3,0.7,2.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,0.1594132689819002,0.555602599556135,inf,0,0.898,1,0.786,1,0.729,1
4,True,0.3,0.7,2.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.10147626826199337,0.15261842893268351,inf,0,0.248,1,0.176,1,0.056,1
4,True,0.3,0.7,2.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.3237775943647123,0.3583153291812484,inf,0,inf,0,inf,0,0.072,1
4,True,0.3,0.7,2.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.12682730870190057,0.16239760341778892,inf,0,inf,0,0.056,1,0.04,1
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.1538369154333396,0.24437671172134684,inf,0,inf,0,0.274,1,0.12,1
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.4083381779814151,0.45447620082928186,inf,0,inf,0,inf,0,0.194,1
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.5506005587581364,0.5838615975051884,inf,0,inf,0,inf,0,inf,0
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.5976931547654837,0.6704516367897702,inf,0,inf,0,inf,0,inf,0
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.239752873931527,0.30896911421922635,inf,0,inf,0,inf,0,0.12,1
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.1196802733664229,0.1704719689528945,inf,0,0.174,1,0.136,1,0.056,1
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,0.3852564587685121,0.46117898808065466,inf,0,inf,0,inf,0,0.12,1
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.4601594773135578,0.5271819838545803,inf,0,inf,0,inf,0,0.456,1
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.41259537787746614,0.4649731228734988,inf,0,inf,0,inf,0,0.174,1
5,True,0.3,0.7,1.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.3544457349536832,0.41340768266690797,inf,0,inf,0,inf,0,0.056,1
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.6032735853737159,0.6277951378257135,inf,0,inf,0,inf,0,inf,0
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.44870147971651,0.4876680576549363,inf,0,inf,0,inf,0,0.124,1
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.7372731021675848,0.7666732388421902,inf,0,inf,0,inf,0,inf,0
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.7280758674754,0.7447575954327583,inf,0,inf,0,inf,0,inf,0
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.6763468582065522,0.7053319842037834,inf,0,inf,0,inf,0,inf,0
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.11226709691990885,0.16574077660987777,inf,0,0.174,1,0.136,1,0.056,1
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,0.6977834952637043,0.7149812718200795,inf,0,inf,0,inf,0,inf,0
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.5491214947182305,0.5803310674281428,inf,0,inf,0,inf,0,inf,0
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.4762421541738555,0.515023811697881,inf,0,inf,0,inf,0,0.12,1
6,True,0.3,0.7,1.0,0.5,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.4722186550427232,0.5017231263381239,inf,0,inf,0,inf,0,0.056,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.09625975241226765,0.25236971969596894,inf,0,0.35,1,0.35,1,0.195,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.14290815654038969,0.13749440629180115,inf,0,0.116,1,0.116,1,0.072,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.07885153477293508,0.1437914696719214,inf,0,0.292,1,0.088,1,0.072,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.14402667568499636,0.23967092634959813,inf,0,inf,0,0.136,1,0.136,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,4,0.24929286158575892,0.22682783512805219,inf,0,inf,0,0.056,1,0.04,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,5,0.117369922349029,0.17867008574182836,inf,0,inf,0,0.056,1,0.04,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,6,-0.06618365479132608,0.20193919022083168,0.825,1,0.825,1,0.128,1,0.128,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,7,0.08013732992248823,0.19731986160871565,inf,0,0.636,1,0.132,1,0.04,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,8,0.18077521880616276,0.28824218814987007,inf,0,inf,0,0.338,1,0.152,1
7,True,0.5,0.587,3.0,0.9,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,9,0.05357952991973161,0.12515019766241556,0.22,1,0.22,1,0.056,1,0.04,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,0,0.06712652614377894,0.12219096319420827,inf,0,0.104,1,0.104,1,0.056,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,1,0.4583852034777699,0.4816280813408523,inf,0,inf,0,inf,0,0.072,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,2,0.07041813350480848,0.12486853963624775,inf,0,0.188,1,0.072,1,0.056,1
8,True,0.1,0.5,1.74,0.514,4,True,True,0.1,"(600.0, 600.0)",1000,2.0,100,4.0,100.0,20,1.0,36.0,6.0,3,0.15899220468579053,0.19584141277835077,inf,0,inf,0,0.072,1,0.056,1
